DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,param_vs0_mean,param_k_mean,param_n_mean,param_vs0_med,param_k_med,param_n_med,param_vs0_std,param_k_std,param_n_std,param_vs0_prc0.16,param_k_prc0.16,param_n_prc0.16,param_vs0_prc0.84,param_k_prc0.84,param_n_prc0.84,sigma_vel_mean,sigma_vel_med,sigma_vel_std,sigma_vel_prc0.16,sigma_vel_prc0.84
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,122.63876455127341,0.14914602120495268,1.5000129684666668,122.67,0.148921,1.49922,0.015195075850601408,0.08928915006681623,0.04361122527774344,120.8,0.136447,1.45657,124.50716000000001,0.162961,1.54341,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,95.43294858335196,0.1279299082029436,1.3054446668000002,95.4587,0.127687,1.30425,0.016988164738949863,0.08765566332587481,0.0370318913647629,93.8353,0.117248,1.26852,97.0588,0.13959,1.34228,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,63.81270650575212,0.111766405653397,1.1336792283999997,63.8388,0.1114885,1.13226,0.020777025458024463,0.08373590513562577,0.02418133243573215,62.5074,0.102855,1.1097,65.1433,0.12147,1.15758,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,4,1143,227.5551685507143,30.793,37.33,-121.891,598.2480284149985,4132.057993423939,129.67770784262436,0.15598444182366436,1.5567704004000003,129.712,0.1557535,1.55605,0.01499006537328656,0.08965684588694249,0.04462629826988388,127.762,0.142656,1.51233,131.628,0.170501,1.60119,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,5,829,239.89551789808465,35.0,37.5511,-122.051,583.8259798529695,4156.433658008225,137.41257824622843,0.1642438951585159,1.6220492836666667,137.447,0.164021,1.62138,0.014891315477881448,0.09014660225658185,0.045457985497427474,135.396,0.15015,1.57681,139.466,0.17960616,1.66734,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,6,875,173.86564601844134,41.6,38.124,-121.578,624.6403601250597,4220.528211899397,96.49109152070156,0.1286169606982587,1.3122451134000004,96.5166,0.128376,1.31105,0.016890300722903828,0.08774172630386842,0.03736994348623808,94.885,0.117867,1.27498,98.1256,0.140349,1.34943,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,7,876,120.27942078934608,41.6,38.031,-121.743,610.3169221173616,4210.000144840778,64.868459933851,0.11217895713244888,1.1383729343666664,64.8941,0.111899,1.13695,0.02062824818222531,0.08390872343581866,0.024681420509381345,63.5506,0.103217,1.11389,66.2119,0.121936,1.16277,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,8,877,155.40517338390077,81.2,38.093,-121.883,597.9471345004341,4216.722713886046,85.3867195224559,0.12190329536742607,1.2441451246333333,85.4123,0.12164849999999999,1.242835,0.01801996722135805,0.08670012746022265,0.03349970698458405,83.8692,0.111833,1.21079,86.9309,0.132885,1.27743,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,9,878,198.25083936970668,49.2,37.958,-121.529,629.2269826971437,4202.17552207125,111.43387731623318,0.13946837332923379,1.415005256266666,111.462,0.139251,1.41405,0.015745638026060646,0.08872186952684764,0.041430349875776526,109.702,0.12768584,1.37373,113.194,0.152315,1.45622,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,10,879,172.32732233560156,96.5,37.857,-121.572,625.6208898958804,4190.909880316456,95.55824624568214,0.12801072981693706,1.3062465577,95.584,0.127767,1.30505,0.016976464842279614,0.0876659858767454,0.03707227336075349,93.959284,0.11732,1.26928,97.185016,0.13968,1.34312,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
