DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,Depth_MPt,Thk,Vs,flag_Z1,VsProf_mean,res_tot,res_orig
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,2.25,4.5,180.0,False,122.72264719814015,0.3830299424630086,0.049025905990882634
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,11.0,13.0,186.0,False,211.67835022903483,-0.12932123292047848,-0.15623923436932596
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,25.0,15.0,286.0,False,327.0145685415272,-0.134012911199747,0.02848640186870366
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,36.25,7.5,449.0,False,406.34331342720054,0.0998244858840387,0.3423597836432011
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,48.5,17.0,353.0,False,484.7013936687525,-0.3170649612362695,-0.015108580035018804
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,66.0,18.0,379.0,False,586.7944917899041,-0.4371384542812393,-0.07534942101182018
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,78.75,7.5,360.0,False,655.8513633184251,-0.5998301515134585,-0.20503803220044148
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,86.0,7.0,735.0,False,693.5315606244862,0.058073751301701115,0.46899902179952413
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,0.60975,1.2195,64.0,False,95.4907690109726,-0.40014649988420814,-0.8664417078052011
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,1.5244,0.6097999999999999,64.0,False,95.4907690109726,-0.40014649988420814,-0.8664417078052011
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,3.35365,3.0487,64.0,False,103.36730930133712,-0.47940567109899757,-0.8878232100546946
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,5.1829,0.6097999999999999,64.0,False,119.66833470406917,-0.625840955394569,-0.9319877396352876
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,6.09755,1.2195,210.0,False,127.56621102573644,0.4984719987470543,0.2349461281842009
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,9.14615,4.877700000000001,210.0,False,152.90508274071095,0.31729017608047716,0.1674363717902576
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,14.634,6.097999999999999,280.0,False,195.60960410005038,0.358668746057929,0.34512322483452884
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,18.2925,1.2190000000000012,280.0,False,222.5325985735552,0.22971600185161645,0.278660338404638
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,21.951,6.097999999999999,280.0,False,248.4958194158168,0.11936358105046985,0.21679931839787425
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,25.762,1.524000000000001,439.0,False,274.6897181730233,0.46885724996812694,0.6063215803971582
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,28.506,3.963999999999999,439.0,False,293.08507846301967,0.4040364760264117,0.565365015069621
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,0.91465,1.8293,137.0,False,63.8497198651382,0.7634487307493627,0.06966176257156409
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,2.7439,1.8292,137.0,False,65.37981866540576,0.7397672980843044,0.07396566562935636
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,10.67075,14.0245,88.0,False,113.09539611584233,-0.2508948615009521,-0.2320531029596573
