DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,Depth,Depth_MPt,Thk,Vs,flag_Z1,X,Y,UTMzone
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,0.0,,,180.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,4.5,2.25,4.5,180.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,17.5,11.0,13.0,186.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,32.5,25.0,15.0,286.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,40.0,36.25,7.5,449.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,57.0,48.5,17.0,353.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,75.0,66.0,18.0,379.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,82.5,78.75,7.5,360.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,89.5,86.0,7.0,735.0,False,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,0.0,,,64.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,1.2195,0.60975,1.2195,64.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,1.8293,1.5244,0.6097999999999999,64.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,4.878,3.35365,3.0487,64.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,5.4878,5.1829,0.6097999999999999,64.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,6.7073,6.09755,1.2195,210.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,11.585,9.14615,4.877700000000001,210.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,17.683,14.634,6.097999999999999,280.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,18.902,18.2925,1.2190000000000012,280.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,25.0,21.951,6.097999999999999,280.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,26.524,25.762,1.524000000000001,439.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,30.488,28.506,3.9639999999999986,439.0,False,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,0.0,,,137.0,False,555.1673682104371,4162.063086562607,10S
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,1.8293,0.91465,1.8293,137.0,False,555.1673682104371,4162.063086562607,10S
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,3.6585,2.7439,1.8292000000000002,137.0,False,555.1673682104371,4162.063086562607,10S
