DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
1,Shi_Asimaki_2018,1,101.280,216.29147874893894,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,10S
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,10S
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,10S
1,Shi_Asimaki_2018,4,1143,227.5551685507143,30.793,37.33,-121.891,598.2480284149985,4132.057993423939,10S
1,Shi_Asimaki_2018,5,829,239.89551789808465,35.0,37.5511,-122.051,583.8259798529695,4156.433658008225,10S
1,Shi_Asimaki_2018,6,875,173.86564601844134,41.6,38.124,-121.578,624.6403601250597,4220.528211899397,10S
1,Shi_Asimaki_2018,7,876,120.27942078934609,41.6,38.031,-121.743,610.3169221173616,4210.000144840778,10S
1,Shi_Asimaki_2018,8,877,155.40517338390075,81.2,38.093,-121.883,597.9471345004341,4216.722713886046,10S
1,Shi_Asimaki_2018,9,878,198.25083936970668,49.2,37.958,-121.529,629.2269826971437,4202.17552207125,10S
1,Shi_Asimaki_2018,10,879,172.32732233560156,96.5,37.857,-121.572,625.6208898958804,4190.909880316456,10S
1,Shi_Asimaki_2018,11,880,360.7313406627293,42.2,37.783,-121.617,621.7836050955035,4182.639469683892,10S
1,Shi_Asimaki_2018,12,889,385.87271489419163,23.3,37.6978,-121.6834,616.0693031154793,4173.101725219894,10S
1,Shi_Asimaki_2018,13,897,238.92651160118305,91.81,37.98,-122.353,556.8205911272879,4203.793413333226,10S
1,Shi_Asimaki_2018,14,898,241.21792149655982,90.95,37.979,-122.355,556.6457147249561,4203.681241175716,10S
1,Shi_Asimaki_2018,15,899,271.66234036172824,90.95,37.978,-122.357,556.470833554795,4203.569072831866,10S
1,Shi_Asimaki_2018,16,908,389.82520119118453,49.2,37.8123,-122.3616,556.1926643115651,4185.181578797135,10S
1,Shi_Asimaki_2018,17,909,893.6042117302522,34.7,37.8133,-122.3601,556.3239375993797,4185.293432089372,10S
1,Shi_Asimaki_2018,18,910,432.0804672146859,48.9,37.8129,-122.361,556.2450223240218,4185.248509909694,10S
1,Shi_Asimaki_2018,19,911,1824.4425061285065,51.7,37.8125,-122.3591,556.412567155453,4185.205275056724,10S
1,Shi_Asimaki_2018,20,912,802.4163740544855,65.4,37.814,-122.3588,556.4378317762236,4185.371881634211,10S
1,Shi_Asimaki_2018,21,913,340.411758359244,60.6,37.8166,-122.3627,556.0925864501992,4185.6580041901025,10S
1,Shi_Asimaki_2018,22,935,216.93851944792974,33.18,37.8033,-122.4417,549.1480797851683,4184.137888302747,10S
1,Shi_Asimaki_2018,23,944,317.87346823094003,61.4,37.8258,-122.2669,564.5166163963995,4186.740583988538,10S
