DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,param_vs0_mean,param_k_mean,param_n_mean,param_vs0_med,param_k_med,param_n_med,param_vs0_std,param_k_std,param_n_std,param_vs0_prc0.16,param_k_prc0.16,param_n_prc0.16,param_vs0_prc0.84,param_k_prc0.84,param_n_prc0.84,param_dBr_mean,param_dBr_med,param_dBr_std,param_dBr_prc0.16,param_dBr_prc0.84,sigma_vel_mean,sigma_vel_med,sigma_vel_std,sigma_vel_prc0.16,sigma_vel_prc0.84,ell_dBr_mean,ell_dBr_med,ell_dBr_std,ell_dBr_prc0.16,ell_dBr_prc0.84,omega_dBr_mean,omega_dBr_med,omega_dBr_std,omega_dBr_prc0.16,omega_dBr_prc0.84
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,151.26524138018993,0.0686648971937736,1.4996000000000007,151.57,0.0687361,1.4996,0.05021954299092394,0.212443466461226,5.468745689282341e-12,143.923,0.055602904,1.4996,159.003,0.08476681600000001,1.4996,-0.5002553158689962,-0.4996045,0.216765701035486,-0.7151881600000001,-0.28511452,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,86.70532846489652,0.16836732166329094,1.3044599999999995,86.8544,0.168506,1.30446,0.08060481703538122,0.22984092517906826,9.074089948362179e-12,80.0199,0.13407084,1.30446,93.93854800000001,0.21153916,1.30446,0.5653112446772888,0.565997,0.2317931329890762,0.33489572,0.795464,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,70.96755200560536,0.08067482203354738,1.13232,71.09285,0.08091525,1.13232,0.06923462721681149,0.21863601955632983,3.4585725306046423e-12,66.235484,0.06493536800000001,1.13232,76.03531600000001,0.100258,1.13232,-0.021745610461205496,-0.019132049999999998,0.21993818214260505,-0.23994916,0.196666,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,4,1143,227.5551685507143,30.793,37.33,-121.891,598.2480284149985,4132.057993423939,159.28035428249953,0.07172012535773911,1.556510000000001,159.806,0.0717625,1.55651,0.0620700879463564,0.2662440384925816,8.47812123546138e-12,149.795,0.055069151999999996,1.55651,169.4,0.09336033199999999,1.55651,-0.5059337448993445,-0.5050455,0.26977510826066686,-0.77315144,-0.23831455999999998,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,5,829,239.89551789808465,35.0,37.5511,-122.051,583.8259798529695,4156.433658008225,155.84259714908205,0.10332086277861312,1.6219499999999987,156.2295,0.103538,1.62195,0.0676144475409718,0.26257368850835183,6.394895280008583e-13,145.695,0.079644268,1.62195,166.684,0.134116,1.62195,-0.1974697645810293,-0.19456299999999999,0.2609702100011609,-0.45655016,0.06173703200000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,6,875,173.86564601844134,41.6,38.124,-121.578,624.6403601250597,4220.528211899397,100.04341113897966,0.11372584521634661,1.311279999999999,100.321,0.1139235,1.31128,0.08388319039603827,0.2657727427862255,5.286224719832096e-12,92.022884,0.087309284,1.31128,108.779,0.148095,1.31128,0.16706127741302015,0.16912,0.2633331097000679,-0.095144464,0.42867348000000005,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,7,876,120.27942078934608,41.6,38.031,-121.743,610.3169221173616,4210.000144840778,63.03553268904882,0.12109086527478252,1.1370100000000007,63.0897,0.121129,1.13701,0.051329946548048296,0.1429237944604806,4.514174341756059e-12,59.902584,0.10511884,1.13701,66.32473200000001,0.139547,1.13701,0.3803146968278571,0.3804035,0.15194375958473538,0.22962752,0.5309429600000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,8,877,155.40517338390077,81.2,38.093,-121.883,597.9471345004341,4216.722713886046,91.57435780025325,0.09748939884506723,1.2429899999999996,91.8063,0.0975187,1.24299,0.07121333518586297,0.22652710714453653,1.1097807850514896e-12,85.30546799999999,0.077871184,1.24299,98.2902,0.12212516,1.24299,0.07200855455073986,0.0728694,0.2262204262123025,-0.15214032,0.29722332,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,10,879,172.32732233560156,96.5,37.857,-121.572,625.6208898958804,4190.909880316456,117.88992237483232,0.06215092012148354,1.30527,118.064,0.06221355,1.30527,0.04501965563844864,0.17658601788218697,7.0756851733594974e-12,112.731,0.052149952,1.30527,123.286,0.074077216,1.30527,-0.4319659962215213,-0.431382,0.18235957062306432,-0.6130628,-0.25084283999999996,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,11,880,360.7313406627293,42.2,37.783,-121.617,621.7836050955035,4182.639469683892,217.82657995432638,0.2697051488989801,2.3963700000000006,218.3155,0.26955399999999996,2.39637,0.07175021663072514,0.30059927188728847,1.6411344102272028e-11,202.845,0.20015984,2.39637,233.936,0.36336132,2.39637,0.09070304589306177,0.09016645000000001,0.29607088820608846,-0.20287848,0.38443016,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
