prc,logVs30mid,logVs30scl,r1,r2,r3,dr1,dr2,s2,sigma_vel,ell_rdB,omega_rdB
0.78,6.49879,0.435501,-2.55949,6.0686344,0.389704,-0.261053,0.67786164,7.07134,0.283608,2.17938,0.329936
0.79,6.49879,0.435501,-2.55724,6.07467,0.389704,-0.25880279,0.6838938400000001,7.07134,0.283739,2.1923621,0.330557
0.8,6.49879,0.435501,-2.554948,6.08084,0.389704,-0.2565058,0.690062,7.07134,0.283873,2.206032,0.331193
0.81,6.49879,0.435501,-2.55249,6.0872919,0.389704,-0.25404781,0.69651876,7.07134,0.284008,2.22015,0.331846
0.8200000000000001,6.49879,0.435501,-2.54996,6.09373,0.389704,-0.25151882000000003,0.702959,7.07134,0.284154,2.2349318,0.332536
0.8300000000000001,6.49879,0.435501,-2.54737,6.10055,0.389704,-0.248928,0.7097721699999999,7.07134,0.28430316999999994,2.2501350999999996,0.33321617
0.8400000000000001,6.49879,0.435501,-2.54478,6.10749,0.389704,-0.24634067999999987,0.7167114800000002,7.07134,0.284455,2.2663416000000005,0.333952
0.85,6.49879,0.435501,-2.54192,6.11487,0.389704,-0.243484,0.724099,7.07134,0.284616,2.28344,0.33473
0.86,6.49879,0.435501,-2.53903,6.12236,0.389704,-0.240587,0.73158314,7.07134,0.284785,2.30175,0.33554414
0.87,6.49879,0.435501,-2.53607,6.1304113000000005,0.389704,-0.237629,0.7396359100000001,7.07134,0.284964,2.32065,0.33638
0.88,6.49879,0.435501,-2.5329,6.1386912,0.389704,-0.234461,0.74791748,7.07134,0.285146,2.3412412,0.337269
0.89,6.49879,0.435501,-2.5294,6.1472811,0.389704,-0.23095989,0.75651011,7.07134,0.285343,2.3631611,0.338191
0.9,6.49879,0.435501,-2.52578,6.15673,0.389704,-0.22734389999999996,0.7659514000000002,7.07134,0.285549,2.387041,0.339205
0.91,6.49879,0.435501,-2.52187,6.16695,0.389704,-0.22342690999999995,0.776173,7.07134,0.28577,2.4131018000000006,0.340233
0.92,6.49879,0.435501,-2.5175392,6.17807,0.389704,-0.21909592,0.7872934000000001,7.07134,0.286016,2.4419824000000006,0.341396
0.93,6.49879,0.435501,-2.5127493,6.189600700000001,0.389704,-0.21430671999999998,0.7988292100000001,7.07134,0.286294,2.4737614,0.342673
0.9400000000000001,6.49879,0.435501,-2.5072694,6.20304,0.389704,-0.20883346000000003,0.81226606,7.07134,0.286607,2.50986,0.344104
0.9500000000000001,6.49879,0.435501,-2.50123,6.21793,0.389704,-0.20279290000000003,0.8271513999999999,7.07134,0.286949,2.5526405,0.34577604999999995
0.9600000000000001,6.49879,0.435501,-2.49421,6.2353804,0.389704,-0.19577383999999987,0.8446083200000003,7.07134,0.28737,2.603311200000001,0.347697
0.97,6.49879,0.435501,-2.4855597000000005,6.25549,0.389704,-0.18711876000000024,0.86471506,7.07134,0.287873,2.66659,0.350088
0.98,6.49879,0.435501,-2.47375,6.282210200000001,0.389704,-0.175314,0.8914401000000001,7.07134,0.288572,2.75722,0.353158
