DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,Depth_MPt,Thk,Vs,flag_Z1,VsProf_mean,VsProf_glob_mean,res_tot,res_dW,res_dB,res_orig
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,2.25,4.5,180.0,False,151.59383977384667,133.07114939253387,0.3020729078687898,0.17175201324471168,0.13032089462407814,0.049025905990882634
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,11.0,13.0,186.0,False,205.99788664712864,208.5959235398218,-0.11465232666742153,-0.10211923602923445,-0.012533090638187083,-0.15623923436932596
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,25.0,15.0,286.0,False,282.66513174469077,309.57567638280045,-0.07921076315431819,0.01172889385930187,-0.09093965701362006,0.02848640186870366
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,36.25,7.5,449.0,False,337.32647126848497,379.8499983418574,0.16724645415828032,0.2859716688593279,-0.11872521470104758,0.3423597836432011
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,48.5,17.0,353.0,False,392.19548276324815,449.608660535548,-0.241909504217662,-0.10529233907584867,-0.13661716514181332,-0.015108580035018804
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,66.0,18.0,379.0,False,464.5357878583829,540.8186154593319,-0.355547741131069,-0.2035023961850264,-0.1520453449460426,-0.07534942101182018
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,78.75,7.5,360.0,False,513.8485863135629,602.6539509657883,-0.515239121550076,-0.3558246114515544,-0.1594145100985216,-0.20503803220044148
1,Shi_Asimaki_2018,1,101.280,216.2914787489389,89.5,37.3411,-121.8503,601.8388425292097,4133.332593563509,86.0,7.0,735.0,False,540.8543176676322,636.4294256826756,0.1439969661017999,0.3067205400536164,-0.16272357395181647,0.46899902179952413
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,0.60975,1.2195,64.0,False,86.86825824032248,104.5841915350133,-0.4911093242970219,-0.3055096145249232,-0.18559970977209872,-0.8664417078052011
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,1.5244,0.6097999999999999,64.0,False,86.86825824032248,104.5841915350133,-0.4911093242970219,-0.3055096145249232,-0.18559970977209872,-0.8664417078052011
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,3.35365,3.0487,64.0,False,96.29116741169518,111.06904981179923,-0.5512689949236593,-0.4084935117331945,-0.14277548319046485,-0.8878232100546946
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,5.1829,0.6097999999999999,64.0,False,115.61046097724329,124.59589975236212,-0.6661926151678115,-0.5913433616670991,-0.07484925350071236,-0.9319877396352876
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,6.09755,1.2195,210.0,False,124.9027231037311,131.19225055995773,0.47044372180591676,0.5195723115519364,-0.049128589746019635,0.2349461281842009
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,9.14615,4.877700000000001,210.0,False,154.5030883381505,152.4998679073911,0.31994380085141927,0.30689344533575813,0.013050355515661138,0.1674363717902576
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,14.634,6.097999999999999,280.0,False,203.9104429612049,188.7652388142231,0.39428548285945286,0.317108710808113,0.07717677205133988,0.34512322483452884
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,18.2925,1.2190000000000012,280.0,False,234.86514341154887,211.78443725368197,0.27922065120170547,0.17577811156770728,0.10344253963399819,0.278660338404638
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,21.951,6.097999999999999,280.0,False,264.62077894121717,234.06421360606942,0.17919410833708405,0.05649182493745464,0.12270228339962941,0.21679931839787425
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,25.762,1.524000000000001,439.0,False,294.5685918532807,256.6052882870211,0.5369603520373278,0.3989875275839614,0.13797282445336645,0.6063215803971582
1,Shi_Asimaki_2018,2,1042,172.12053556234724,30.488,37.528,-122.262,565.2079787538947,4153.703567394704,28.506,3.963999999999999,439.0,False,315.5655075933489,272.46653985205364,0.4769835960448727,0.33013312160551944,0.14685047443935328,0.565365015069621
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,0.91465,1.8293,137.0,False,71.10889214137995,70.67585477251572,0.6618769279103489,0.6557685315593345,0.006108396351014456,0.06966176257156409
1,Shi_Asimaki_2018,3,1080,118.43134223562076,46.037,37.604,-122.375,555.1673682104371,4162.063086562607,2.7439,1.8292,137.0,False,72.34596003037659,71.92911165569917,0.6442998521474763,0.6385213135581242,0.005778538589352067,0.07396566562935636
